# XDK Monitor Logger 1.0
# Start: 2016-05-05 19:05:13
# Timestamp, 	humidity of BME280 (%rh), 	light of BME280 (lux), 	pressure of BME280 (pa), 	temperature of BME280 (mDeg)
1262722, 	25.0, 	1536.0, 	100070.0, 	13670.0
1265652, 	25.0, 	1536.0, 	100067.0, 	13650.0
1268582, 	25.0, 	1536.0, 	100062.0, 	13630.0
1271512, 	25.0, 	1536.0, 	100059.0, 	13610.0
1274441, 	25.0, 	1536.0, 	100067.0, 	13600.0
1277371, 	25.0, 	1536.0, 	100064.0, 	13590.0
1280301, 	25.0, 	1536.0, 	100066.0, 	13570.0
1283230, 	24.0, 	1536.0, 	100069.0, 	13550.0
1286160, 	24.0, 	1536.0, 	100062.0, 	13530.0
1289090, 	24.0, 	1536.0, 	100067.0, 	13510.0
1292019, 	24.0, 	1536.0, 	100060.0, 	13490.0
1294949, 	24.0, 	1536.0, 	100059.0, 	13480.0
1297879, 	24.0, 	1536.0, 	100069.0, 	13470.0
1300808, 	24.0, 	1536.0, 	100061.0, 	13450.0
1303738, 	24.0, 	1536.0, 	100067.0, 	13430.0
1306668, 	24.0, 	1536.0, 	100070.0, 	13420.0
1309597, 	24.0, 	1536.0, 	100066.0, 	13390.0
